TF,W,R
CLOCK,1117.09880848633,209
SOX10,1115.00006012097,210
HNF4G,1108.68894965975,211
MEF2C,1100.0852210728,212
NR2F6,1069.40414447576,213
AR,1064.36284763764,214
RBPJ,1057.70717946258,215
STAT6,1037.48246608149,216
FOSL2,1017.10417373936,217
RFX2,1009.86756978371,218
E2F2,1001.22965365327,219
MAF,999.148554763997,220
TCFL5,990.085821136603,221
REST,984.275126728731,222
MYB,976.539876708595,223
LEF1,956.4904699503,224
ZFP82,952.840935210282,225
SOX3,919.606708863434,226
HIC2,919.502182288963,227
TEAD1,918.583820616112,228
FOXO6,909.977956784079,229
MTF1,908.148571225239,230
GRHL2,907.073959110191,231
ZNF331,876.076300261786,232
FIGLA,865.489180498963,233
NEUROD1,853.302943363242,234
CREB1,850.920170384847,235
FOS,818.516828379304,236
TFE3,818.16193719324,237
MEF2D,809.425210693056,238
MITF,805.945290611201,239
JUNB,802.294652510027,240
SOX9,801.775168975198,241
ZBTB7B,788.090346509714,242
NR1I2,787.88203448513,243
IRF2,750.867880667858,244
CREB3L1,743.090384026061,245
RUNX1,737.368547430718,246
ZNF418,731.338379440396,247
ZNF708,729.245438171896,248
HES1,725.33080015,249
MEF2B,715.773774444911,250
MEF2A,711.762834695907,251
NKX2-5,708.50552515352,252
GLI3,705.45823258588,253
SPZ1,695.811218618295,254
NFE2,679.262222801087,255
MEIS3,677.85116490131,256
BHLHE40,647.694741614023,257
ARNT,632.697282767091,258
HSF1,626.328298470479,259
NR4A1,617.971610770123,260
PBX1,612.48345596176,261
ZFP28,611.276329437244,262
MEIS2,610.773444384993,263
NR2C1,597.891475269059,264
FOXK1,595.204296283438,265
NFATC1,590.178583803179,266
TP53,531.214268000491,267
FOXD3,523.75436259483,268
TBX15,519.912790799372,269
RHOXF1,485.600862064036,270
ZNF394,451.861503317885,271
ZNF528,450.18827608079,272
RXRG,433.631195176166,273
HEY1,416.105140293834,274
TBX1,415.816150390041,275
EOMES,403.684510762415,276
MAFB,390.229253157187,277
GFI1,367.356957602265,278
FOXC2,340.638312650382,279
FOXB1,316.374350198063,280
TEAD4,262.050874951487,281
ZFP42,260.605295536944,282
ESRRB,245.363357499686,283
RFX3,233.58371875251,284
NR2E3,227.192562693165,285
ZNF547,215.897700934789,286
RFX4,209.97888473105,287
IRF7,142.71221369131,288
NKX2-8,105.507797079632,289
FEZF1,101.870040808813,290
HES5,86.1467531070941,291
THRB,75.8264411147012,292
TFEB,75.1737093763029,293
ZNF274,68.646235668131,294
NR3C1,52.7817076790314,295
MSC,41.0781276008186,296
TCF7,28.1119192918691,297
FOXP1,26.1593866513098,298
FOSL1,6.81933940360165,299
ATF6,-22.7305796044161,300
BHLHE41,-38.8199091353479,301
CEBPA,-63.9246156566302,302
NR1I3,-101.932868784393,303
FOXL1,-138.331238192469,304
TGIF1,-172.304742175269,305
FOXP2,-181.857818476917,306
PITX1,-193.065470365061,307
TWIST1,-262.735807642565,308
GATA1,-263.261809345839,309
RORC,-265.70000129588,310
ATF2,-354.797050761323,311
PAX6,-382.078243651542,312
NR2E1,-427.24831028028,313
HES7,-475.07343166191,314
ZNF549,-486.467149040748,315
SIX2,-503.862840083411,316
GATA2,-506.200870314938,317
CDX2,-506.545689487967,318
TEAD3,-529.46510385105,319
FOXI1,-549.964976347817,320
POU2F2,-564.79090056719,321
NFAT5,-576.968226768226,322
ZBTB18,-604.5348596003,323
BATF3,-614.307506094352,324
SOX17,-616.651302423056,325
SPIC,-619.321245951435,326
ATF3,-630.459544191487,327
RELA,-636.663737092687,328
HSF2,-649.366600016071,329
FOXH1,-655.067048602592,330
MAFG,-664.589328405593,331
ELF4,-698.468629753368,332
ZNF140,-703.125049320177,333
NFYA,-707.809981483479,334
JDP2,-745.670096396876,335
PBX2,-749.934186792155,336
GATA4,-760.93255805052,337
TEAD2,-779.6387854444,338
POU1F1,-791.376515610764,339
ARID3A,-815.922776897275,340
GRHL1,-832.206297829986,341
FOXG1,-835.023367420791,342
NFYB,-840.781818620177,343
TBR1,-846.194971677749,344
CREB3,-871.759035592319,345
ZNF350,-885.597101852715,346
ZIM3,-889.327060520629,347
ELK3,-890.661208924707,348
SIX1,-891.337122598409,349
