"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Taste Receptor Cells",0.419921875,0.784114052953157,0.0873098257637931,-0.796587487453998,-1.05681956368412,1,"NR3C1"
"Thymocytes",0.340122199592668,0.784114052953157,0.102080107662747,0.770080321285141,1.15526522677948,2,"EZR;UCP2"
"Transient Cells",0.446584938704028,0.784114052953157,0.0780892306943345,0.297997699977998,1.00436147889101,50,"UNC5B;CEP170B;KRT19;PLXNB2;DAB2IP;TMEM63B;NFE2L1;LGR4;ST14;JUP;PTPRF;PTGFRN;CTNND1;IL17RC;CTNNA1;RNF128;DSP;CTNNB1;MYO6;WASL;APLP2"
"Trophoblast Progenitor Cells",0.444444444444444,0.784114052953157,0.0795564677235957,0.316846407306012,0.986398630823122,35,"R3HDM4;TMC6;DEDD2;ARRDC1;PTPN6;VASP;IRF7;ST14;STXBP2;RPS6KA1;OSTF1;MOB3C;ARHGAP27;MAPK13;LRP10;PRKCD"
"Urothelial Cells",0.365107913669065,0.784114052953157,0.0905428948469474,0.343400004280368,1.05884733379897,33,"TRIM25;RPS6KB2;ARRDC1;ST14;STXBP2;SIRT7;TMC4;LLGL2;ELMO3;ARHGAP27;LRP10;PRKCD"
"Photoreceptor Cells",0.458077709611452,0.790386965376782,0.0850427463764322,0.576894201321241,1.04385074561303,4,"PRKCA;KIF1B;STX3"
"Retinal Ganglion Cells",0.470468431771894,0.790386965376782,0.0833634065110386,0.697435192741513,1.04628387953336,2,"PRKCA;DCTN1"
"Sebocytes",0.46606334841629,0.790386965376782,0.0897104652742981,-0.330320955442751,-1.00481701796042,30,"LTBR;VDR;CDA;OVOL1"
"Trophoblast Stem Cells",0.464088397790055,0.790386965376782,0.0787113806986485,0.359977784851989,0.992959825444114,21,"KRT18;KRT19;PKP3;WWC1;SHROOM3;PTPRF;KRT8"
"Anterior Pituitary Gland Cells",0.511247443762781,0.80498454594515,0.0791316651768349,0.544528930276944,0.985287993146145,4,"CPEB4;NKTR"
"Enteric Neurons",0.514644351464435,0.80498454594515,0.0799858801499946,0.521579055067212,0.977450622660404,5,"CYB561;PPP2R5B;CASZ1"
"Hepatoblasts",0.522281639928699,0.80498454594515,0.0709609456938284,0.302460505709152,0.949403821528779,36,"KRT18;KRT19;PKP3;CGN;RHPN2;GJB1;LGR4;PTPRF;CDH1;KRT8;HNF4A;RNF128;EPCAM;DSP"
"His Bundle Cells",0.519348268839104,0.80498454594515,0.0780892306943345,0.667743198202765,1.00174030679656,2,"NCKAP1;TPM1"
"Interneurons",0.498969072164948,0.80498454594515,0.0808589150280032,-0.39055627003261,-0.977032902780851,12,"DHRS3;LPGAT1;ABR"
"Keratinocytes",0.488505747126437,0.80498454594515,0.0780892306943345,0.396740979656976,0.983749996214782,14,"MST1R;PLEC;ITGB4;PKP3;SIRT7;IL13RA1"
"Merkel Cells",0.51981351981352,0.80498454594515,0.0852884689790502,-0.277178921675389,-0.955293698028987,48,"TMEM82;ACE2;FABP1;GSTA1;HNF4G;ALPI;NR1H4;TM4SF5;GPX2;MAL2;REG3A"
"Paneth Cells",0.490196078431373,0.80498454594515,0.0741758965588009,0.306650172213922,0.962554911722305,36,"DMBT1;LGALS2;MUC2;TFF3;APOBEC1;ZG16;CLCA1;SPINK4;GUCA2A;SLC13A2;LGR4"
"Smooth Muscle Cells",0.4989816700611,0.80498454594515,0.0802023444698144,0.465134648523063,0.99361150859175,8,"PDE4DIP;KIF1C"
"Erythroblasts",0.540540540540541,0.818115412710007,0.0732558655828455,0.386249954451877,0.94319477241485,13,"CCND3;ARPC1B;VASP;RHOG;CDH1"
"Platelets",0.538793103448276,0.818115412710007,0.0791316651768349,-0.338644212802157,-0.930606325779893,18,"LTBR;ALDH2;LGALS8;OST4;AGPAT1"
"Gamma (PP) Cells",0.55193482688391,0.827902240325866,0.0749278818393739,0.653279785809906,0.980042469653867,2,"ATP9A;ATP1B1"
"Cardiac Stem And Precursor Cells",0.563809523809524,0.832604978149345,0.0704500850658419,0.360988519860523,0.91055706587486,15,"EPHA2;DAB2IP;ERRFI1;NCKAP1;PTPRF;TBX3;SH3D19"
"Trophoblast Cells",0.564981949458484,0.832604978149345,0.0676760401641789,0.306074256765701,0.933421733323337,31,"S100A11;NIPAL1;NFKBIZ;AREG;KLF4;PKP3;IER3"
